entityid;cent_codigo;esce_codigo;plfi_codigo;iddistritoed;cent_nombre;cent_multigrado;cent_referencia
cc40e829-6431-4e7b-9ceb-2cbcbbe8c0ae;26017834;1;7297;55;TV-CENTRO MESETAS;LAS;False
60997d1c-8a65-4217-a888-a7ac4c0145d0;26018119;1;7551;55;CACIQUE;LA;False
5aaf863d-ba64-4701-84e9-5e781635ae2a;26018213;1;7551;55;TV - CENTRO CACIQUE;LA;False
765feffc-bc91-4569-9e7d-69cc8b2d64bc;26018619;1;514;55;RODEO;EL;True
8e83f0c9-5493-4a7d-9bc2-a1f17b6535e4;26021811;1;12291;55;CENTRO DE ENSE�ANZA GIRASOL PRIMAVERAL;False;8949
6eb28385-db98-42d2-b0fb-ecccaea1ed09;26021820;1;10024;55;LOMA DEL TANQUE;True;4284
087ab9e6-165d-4bdd-b3ab-3994abd0ddd1;1047916;1;9511;56;SAN GABRIEL;True;11056
0434bae9-5116-4198-b2d2-007cb13787ae;1049010;8;9844;56;COLEGIO INSTITUTO CHEKINA;False;11306
acbd1e64-4050-4717-b1a2-97b7b9860b67;1049218;1;8453;56;JEHOVA-NISI;False;5178
87ed1e65-454e-4fd2-8d6f-417b7c234c3b;1049416;1;8497;56;CERROS;LOS;False
a53d5561-7bc4-4272-bfd4-da2addea9262;1049510;1;6919;56;CEUTA;False;5180
38eddb47-2870-4012-835b-6b5a11e2aae8;1049916;1;1948;56;INTERACCION;LA;False
efbcd6a7-a6a8-4138-9fbb-e5537e3e9cd4;1050219;1;457;56;MAXIMO GOMEZ;False;5183
bb83ba37-6a4d-4e59-ad4c-1bede546c744;1050719;1;555;56;LEONCIO MANZUETA (SANTA CRUZ);False;39
8e35f576-5d07-4635-ab19-2a2f15efaba8;1050722;1;555;56;LEONCIO MANZUETA (SANTA CRUZ);False;5185
1691fd56-2fb6-455e-8b1d-a22fe9751e19;1050725;14;555;56;LEONCIO MANZUETA (SANTA CRUZ);False;5186
32cca765-50b2-4310-9f04-5fe1c5914665;1050748;1;555;56;LEONCIO MANZUETA (SANTA CRUZ);False;5187
222f37d2-c5ec-46e0-9b9b-c58a0c110f81;1050753;1;11421;56;CENAPEC - STO DGO - SANTA CRUZ;False;10532
83339522-3b8b-4f51-bf5f-fd2f2ac0c126;1050762;1;555;56;LEONCIO MANZUETA PREPARA;False;10711
73844d22-ae17-419c-be82-cded0efc49d2;1051016;1;3700;56;PARROQUIAL SANTA CRUZ;False;5188
448e16c9-e60b-4dcd-8739-80de75b8f91e;1051021;1;3700;56;PARROQUIAL SANTA CRUZ;False;5189
c7fb05aa-a466-4a5e-b1d4-3a6c753e9fea;1051049;1;3700;56;PARROQUIAL SANTA CRUZ;False;5190
9d29d0a0-e22f-48d4-9df0-ad577617b463;1051214;1;1419;56;SANTO NI�O DE ATOCHA;False;5191
886658e0-e530-4295-a9b4-fd94404af961;1051318;1;5536;56;CENTRO EDUCATIVO SOL DE LUZ;False;5192
54d0c445-4851-4785-a5aa-f7616842f9ac;1051412;1;6588;56;UNION;LA;False
472a8d7d-c1ed-4ceb-8dda-86c813be10d6;1051714;1;6164;56;VERDAD;LA;False
ed113bf2-e1d2-43f3-bfe6-4c9d0d23b87c;1068819;1;3642;56;RINCON INFANTIL;True;5269
8f87b691-5e5c-4167-a54b-918bcc6a1bd4;;8;9574;56;INFANTIL GENESIS;False;11101
6082b7f8-4214-4932-9c99-da055dc52321;1125713;1;4557;56;PARAISO ESTUDIANTIL;False;5546
2f0ccc48-f98f-4d54-8e2e-1f9c93cab1ac;1156810;1;7147;56;MAMEYES;LOS;False
3a58575f-0fff-4d95-96a5-213880c04102;1157026;1;4717;56;AMOR DE DIOS;False;180
bfe97a9f-fbd9-4ce1-8bc2-b933aba05889;1157211;1;6859;56;DOLORES MARTINEZ - CAJUILITO;False;181
6b0760f1-3de1-4ab7-9095-2d78986b5313;1157419;1;4732;56;HIGUERO ABAJO;False;182
1932b738-4488-4df8-a9a6-520bdfe6d8b9;1157513;1;3048;56;GINA;LA;False
a2fdbfd5-e63a-4f8b-97ff-ec130912ff8b;1157617;1;446;56;LOMA DE MATEO;True;184
42e5b064-b009-4912-bb4c-3263241bb39c;1157711;1;8714;56;EVANGELICO ADONAI;False;5682
363d1b9a-83cc-4408-85b3-52300dac92c2;1157815;14;3706;56;INSTITUTO AMERICA;False;5683
024c68c9-1edb-4caa-9694-37d1aae77a97;1158018;1;4847;56;LOS ANGELES;False;5684
3a6a1dfc-b130-4ef2-a637-aef63b7d6e52;1158216;1;4353;56;EBENEZER;False;5685
3aa03d35-60c4-44b9-af45-cd15eaac1192;1158716;1;3896;56;GREGORIO LUPERON;False;5686
4dd64d46-1e61-484a-b930-e71885941586;1158914;1;1723;56;GUARICANO ADENTRO;False;185
ba62013d-17b7-4358-b9d3-44ed580c3e74;1158924;1;1723;56;GUARICANO ADENTRO;False;5687
791f9762-848a-4d59-8cd9-6248bf4160f7;1158942;1;1723;56;GUARICANO ADENTRO;False;5688
a5533b07-399b-42f8-b748-ef76c7c29ef6;1159117;1;3896;56;FRANCISCO JOSE CABRAL LOPEZ - GUARICANO AFUERA;False;5689
c454366c-a3d6-4ed7-951c-86bef8cf34fa;1159120;1;3896;56;FRANCISCO JOSE CABRAL LOPEZ - GUARICANO AFUERA;False;186
b3355907-6f91-4ef9-8eb9-87145022907a;1159121;14;3896;56;FRANCISCO JOSE CABRAL LOPEZ - GUARICANO AFUERA;False;5690
ff2c3fa5-9a7c-4d9c-a557-bc378a13b29c;1159131;1;3896;56;LICEO VESPERTINO GREGORIO LUPERON;False;10700
16f45c89-afca-4a31-b930-3a9a56971439;1159315;1;3459;56;HORIZONTE II;False;5691
5a625bfb-9d28-4c62-805c-6ec926c44378;1159513;1;4800;56;NOUEL;False;5692
fb0276f1-42fe-432c-a298-d8094b19fbd2;1159617;1;7663;56;NUEVA ESPERANZA;LA;False
0b111855-8f3d-4d91-a8dd-8c83d210dfd4;1159711;1;2315;56;CRISTIANO REFORMADO BELEN;False;5694
16758e09-7c60-4b2d-b91c-673563b83ab3;1160014;1;698;56;VIRGINIA;False;5695
55b9709f-7d7d-43db-a037-c5f43e5b9281;1160118;1;8715;56;YULISSA;False;5696
81f7583a-c77b-4d98-9950-2c1cc8ee9701;1160316;1;2019;56;CAZABES;LOS;False
915cf6d0-6b13-4754-8148-8701ad23bd7d;1160410;1;2190;56;BOMBA;LA;False
6c3af4a4-7306-4250-a339-95e7824a8177;1160514;1;632;56;GUANUMA;False;189
ca7f0fc4-705d-42a5-b17f-6d15f679501f;1160525;1;632;56;GUANUMA;False;5697
e7c9fef6-6385-453e-8927-56089fe3d9e5;1160534;1;8715;56;NOCTURNA BASICA DE ADULTOS GUANUMA;False;5698
b75c9918-d1ad-447d-8a8f-da3c25c5de07;1160553;1;632;56;CASIMIRO ROJAS DE LOS SANTOS;True;11165
b7464f1f-1b1a-40a2-a23c-df99568a0050;1160618;1;6453;56;BUENOS AIRES;False;190
3a90b7f5-d8dc-4546-8c34-1ffdc10a599d;1160712;1;5228;56;HOYO OSCURO;False;191
66cbe6e3-b044-4765-84dd-35cc9e208a5d;1163811;1;336;56;MARICAO;False;207
01897ca1-efdc-4c41-9145-ecf222348850;1182818;1;8405;56;CARMEN VIRGINIA BLANDINO - MANCEBO;True;262
1b45ccac-b4c2-4b04-a770-90a5de2f2f79;1182912;1;5249;56;MATA GORDA;False;263
7464537a-3035-44ce-953d-64c9e1c89cba;1183011;1;6550;56;MATA SAN JUAN;False;264
7b48da55-8784-4581-8b69-33fb4ba766e2;1183115;1;3608;56;CHAPARRAL;False;265
6560b4cf-b2ed-4802-a4d3-2cdf35c5bcf9;1183313;1;87;56;MATA DE LOS INDIOS;False;266
c82fac44-a1ac-49c4-926f-9419623a1de5;1183322;14;87;56;MATA DE LOS INDIOS;False;5804
a137c539-7892-4555-a88c-d7e6f5bfa051;1183332;1;87;56;MATA LOS INDIOS - PREPARA;False;10709
322c6c7d-f3bb-4da3-8cdc-347786bb567b;1183417;1;2699;56;SAN FELIPE;False;267
4b197478-3287-4952-9e34-bc738d9b8ea3;1183440;1;2699;56;HERMANAS MIRABAL - PREPARA;False;10658
7cd4743c-3df1-469d-8948-0e83f2e1067f;1183511;1;4655;56;SAN FELIPE;False;5805
c3024d86-c94f-48eb-bd3f-22fb6aad46c1;1184818;15;10956;56;CENTRO EDUCATIVO. CONTRERAS;False;11948
1c8814b9-b6dd-4c32-b08a-8c3b925d89d4;1190314;1;32;56;SAN JUAN DE LA CRUZ;False;5846
0a815e62-9eb0-497c-ac8d-5f4ba4728c29;1191319;1;1197;56;ABEJITAS;LAS;False
36f1da79-81bf-4618-9afc-36202baf7bc4;1191413;1;3326;56;AMERICAS;LAS;True
007cacb3-ab78-4e12-98ad-20976e2a3ffc;1191517;1;3754;56;COLEGIO SAN SEBASTIAN;False;5852
c01292f9-c0d7-46ad-a4f6-3c4d16b643a5;1191611;1;1764;56;BUEN SAMARITANO;False;5853
4d61c5ed-08e8-427e-9329-a39fb2533459;1191819;8;4191;56;CANAAN;True;5854
b5f6cc36-89ee-4b11-a050-da1e16421d0c;1192210;1;8754;56;CRISTO OBRERO;False;279
9bd62276-9860-4cf2-8892-c085da548bcf;1192223;1;8754;56;CRISTO OBRERO;False;5855
ee27e964-1276-4dbb-a45a-4b487c58457d;1192241;1;8754;56;CRISTO OBRERO;False;5856
ecc5fd0c-2c0a-4b2b-8b27-9ab38f64a3d7;1192512;8;1919;56;CENTRO EDUCATIVO DIANA;False;5857
d032e5d1-e216-470f-b450-4125dabda5e8;1192616;1;2878;56;DUARTE;False;5858
e19fe95c-ddd1-48c3-9bb2-80ecd9f94946;1192710;1;4308;56;EDEN DE LOS NI�OS;EL;False
4d88cf60-0377-4a63-ac32-25c501ebbb14;1192918;1;6201;56;FORMACION INTEGRAL BUENA VISTA;False;5860
89d55c9a-9ecd-418a-b54f-66f6f1bc14c5;1193017;8;7849;56;BIBLIA FUENTE DE LUZ;LA;False
72ee2c11-5134-47ce-9c90-ec83b72a37a8;1193319;1;1813;56;JOSE GREGORIO HERNANDEZ;False;5862
f08d220f-4f08-4bc8-afbe-9c68177056e3;1193510;1;7856;56;MATIAS RAMON MELLA;False;280
b63ffa4f-87a0-44dc-a9ea-1965eb593a46;1193520;1;7856;56;MATIAS RAMON MELLA (ADULTOS);False;5863
9541d5b9-c772-46d9-b3bc-90d8b8104be3;1193556;1;817;56;RADIO SANTA MARIA - MATIAS RAMON MELLA;False;13945
61599797-0527-46be-ba81-9ed2391813c7;1193913;1;496;56;MI NANA;True;5864
83a5413e-acdd-4bce-a7e7-c7b6d4c5a3ab;1194210;1;7825;56;NUEVO CARRUSEL;EL;False
10f6f2c6-249b-4b48-9eef-f9dc80ea32f7;1194314;1;7574;56;NUEVO MELLA;False;5866
3ce39af9-ecdf-4c3d-aa68-12dc6be0fe1d;1194616;1;1223;56;SAN CARLOS;False;5867
653189d8-1cbc-4897-b948-322ce1dc0b69;1195215;8;7911;56;VISLUMBRE DE ESPERANZA;False;5868
17a0a891-24c3-4921-bf95-ea0a5ac2837a;1195319;1;3680;56;FERNANDO DE LA CRUZ - TIRO AL BLANCO;False;281
0dd5b620-daa3-4530-99dd-18b69c99be29;1195413;1;5442;56;BEATO SELMO ORTEGA PROF. - BARRIO NUEVO;False;282
3de521cd-b21e-4124-afa1-8bcdf4de3f70;1195426;1;5442;56;BEATO SELMO ORTEGA PROF. - BARRIO NUEVO;False;5869
add17f7b-f312-41e6-9dc3-a99f42dd525a;1195438;1;5442;56;BEATO SELMO ORTEGA PROF. (PREPARA);False;10218
6e4bcf80-08a0-49a1-a79d-d65143def445;1195611;1;6919;56;CRUZ GRANDE;False;283
00939878-d2a1-4b81-8ce8-7f7e5cef5035;1195636;1;6919;56;CEUTA - PREPARA;False;13408
ee17fd46-64ea-410a-ae7a-79f17ebed164;1204012;1;2699;56;HERMANAS MIRABAL;False;5917
15f6dc0b-4092-44bc-96a0-8da885c72c6f;1204517;1;2776;56;PADRE SINDULFO ANDUJAR;False;307
c7589b6c-055f-4871-a110-bbdceba3c45d;1204526;1;2776;56;PADRE SINDULFO ANDUJAR;False;5919
5a26089d-de62-4f1f-949e-66ad92b9763b;1204545;1;2776;56;PADRE SINDULFO ANDUJAR PREPARA;False;11205
670f5f83-dfd2-4953-90a9-5bfdcb5239de;1207019;1;4530;56;PARAISO;EL;False
6719a5fe-45f3-49ee-b431-f80528a91944;1207712;1;3102;56;DORA CELESTE SANTOS GARCIA - KILOMETRO 10 1/2;False;314
f4601d3a-0bb6-4b41-82d7-affdf71851d0;1210916;1;967;56;CATOLICO PADRE SINDULFO;False;318
05ef311d-efbc-4735-8b70-0fe88bf7ac8a;1210925;1;967;56;PARROQUIAL BETANIA;False;5944
df1742ad-4e58-4b26-8c22-60c724d48571;1210943;1;967;56;CATOLICO PADRE SINDULFO;False;5945
caea4883-3018-4124-8146-9285b50a10cd;1211212;8;1090;56;GONZALEZ;False;10735
ca7b06a7-2ae4-479b-aa5b-7971d3bdf77c;1211717;1;6738;56;ARCO IRIS;False;5948
77818e0c-0a09-480d-8a3c-7db5b7c48c55;1212013;1;6632;56;LIRIO;EL;True
4ab96e0e-4bd2-4b08-a6ae-4021df92bc5b;1216415;1;8174;56;ROCHET;False;5963
e6bcf185-d6a4-40bc-ad40-d0e4734cafee;1216514;1;4295;56;PSICOPEDAGOGICO HISPANOAMERICANO;False;5964
dc2e8052-f401-4c27-9803-4df479f6b7ff;1218017;1;5201;56;POLITECNICO OSCUS SAN VALERO;False;5974
eefe5aad-d1c7-4d79-aee1-8c11c9308209;1218035;1;5201;56;RADIO SANTA MARIA - SAN VALERO OSCUS;False;5975
e4319135-9983-42cd-b148-579688b67558;1218054;1;5201;56;RADIO SANTA MARIA SAN VALERO (OSCUS);False;9740
6dd6f3d4-b8c2-430c-831e-039e126dcb76;1218116;14;7186;56;MI BUEN PASTOR;False;5976
7129e03a-7820-41b5-8b35-00ff173ea541;1219214;1;8077;56;RUEDA RUEDA;False;5982
3e979e33-76e0-4b65-8974-2a7b8697cd57;1220410;1;3252;56;ESPERANZA;LA;False
c0a329ff-02fa-46fe-a48e-02c98a3ffbc8;1220717;1;5877;56;CENTRO EDUCATIVO SANCHEZ BELLIARD;False;5991
b97176a6-6928-43ed-a29a-efc772599ce9;1223912;1;4125;56;LICEY;EL;False
906d8871-9bb7-4565-bc6e-46578651ea3f;1224010;1;6113;56;EUGENIO MARIA DE HOSTOS;False;335
5407e55b-bd62-485c-8a7e-969d606d48c6;1224317;15;12550;56;LA TIA SOL;True;12376
76cb5a29-78d4-4a92-9063-59fc2957fc30;1224416;1;4769;56;TROPICO;False;338
61e893a6-2af4-4e59-8009-691c0a2c1131;1224425;1;4769;56;GUARICANO - TROPICO;False;6012
d36b3148-48c9-43d0-a031-4d7cfc2d06f8;1224614;1;904;56;MAURICIO BAEZ;ESCUELA COMUNITARIA;False
48a194e1-cf6f-42d0-ad86-52c8ffde4eff;1224624;1;904;56;MAURICIO BAEZ ESCUELA COMUNITARIA;False;6014
