entityid,codigo,nombreplantafisica,regional,distrito,provincia,municipio,distritomunicipal,seccionmunicipal,barrios,direccion,latitud,longitud,cantidadcentros,matriculamatutina,matriculavespertina,matriculanocturna,matriculacompleta,matriculasemipre
e2431669-2233-44eb-ab34-88ea34be7e2f,2008613,BARRO ARRIBA,03-AZUA,0301-AZUA,AZUA,AZUA,BARRO ARRIBA (D.M.),BARRO ARRIBA (ZONA URBANA),BARRO ARRIBA,BARRO AR BARRO ARRIBA,18.525225373264139,-70.793178677558899,1,253,326,,,
baca1b5a-c745-4e61-ab74-9d2ca9d6f9e5,2009316,BARRO EN MEDIO,03-AZUA,0301-AZUA,AZUA,AZUA,BARRO ARRIBA (D.M.),BARRO EN MEDIO,BARRO EN MEDIO,BARRO EN BARRO EN MEDIO,18.507309941899592,-70.784021615982056,1,26,41,,,
0eaf7745-605e-4119-8539-d69ffd9b1b51,1167415,BARTOLOME DE LAS CASAS - LA HONDONADA,15-SANTO DOMINGO,1501-LOS ALCARRIZOS,DISTRITO NACIONAL,SANTO DOMINGO DE GUZM�N,SANTO DOMINGO DE GUZM�N,SANTO DOMINGO DE GUZM�N (ZONA URBANA),ARROYO MANZANO,C/La Isa BARTOLOME DE LAS CASAS - LA HONDONADA,18.540036487444844,-69.977374076843262,1,267,261,,,
c4bd7d29-77c9-416b-8c91-d3308e593505,2004717,BARTOLOME OLEGARIO PEREZ,03-AZUA,0301-AZUA,AZUA,AZUA,AZUA,AZUA DE COMPOSTELA (ZONA URBANA),MEJORAMIENTO SOCIAL,AVE. FRA BARTOLOME OLEGARIO PEREZ,18.453404832994721,-70.729052424430847,2,932,576,414,,
06b0b276-13ab-4029-8430-88e8da042bb1,28014511,BASILIO ACEVEDO - HATO VIEJO,16-COTUI,1605-PIEDRA BLANCA,MONSE�OR NOUEL,MAIM�N,MAIM�N,HATO VIEJO,HATO VIEJO,HATO VIE BASILIO ACEVEDO - HATO VIEJO,18.937068652486989,-70.318639576435089,1,11,18,,,
88da7265-7e78-45c9-a559-7deb053f5f2a,1153513,BASILIO FRIAS,10-SANTO DOMINGO,1003-SANTO DOMINGO NORESTE,SANTO DOMINGO,SAN ANTONIO DE GUERRA,SAN ANTONIO DE GUERRA,MATA DE PALMA,LA JAG�ITA,CARRETER BASILIO FRIAS,18.608096663420287,-69.680898785591125,1,87,95,,,
2b6b8e56-3175-46b8-9c4d-03c9f7c5f73e,8020415,BATEY 106,12-HIGUEY,1203-EL SEIBO,EL SEIBO,EL SEIBO,SANTA LUC�A (D. M.),SANTA LUC�A,BATEY 106,BATEY 10 BATEY 106,18.677628797593595,-68.970853686332703,1,44,,,,
8e73443e-360f-47b3-989f-afb7c1431a9e,12011217,BATEY 16,05-SAN PEDRO DE MACORIS,0503-LA ROMANA,LA ROMANA,GUAYMATE,GUAYMATE,HIG�ERAL,BATEY EL 16,BATEY 16 BATEY 16,18.575866238050541,-68.996455371379852,1,78,,,,
4448223f-2448-4c7b-a229-3e9ce0dd8abb,12011311,BATEY 18,05-SAN PEDRO DE MACORIS,0503-LA ROMANA,LA ROMANA,GUAYMATE,GUAYMATE,HIG�ERAL,BATEY EL 18,BATEY EL BATEY 18,18.572296568446617,-69.014275968074799,1,56,59,,,
2cb6d9ca-02ec-4b9a-a1ca-37b49a959ee5,12010212,BATEY 20-A,05-SAN PEDRO DE MACORIS,0503-LA ROMANA,LA ROMANA,GUAYMATE,GUAYMATE,HIG�ERAL,BATEY EL 20,BATEY EL BATEY 20-A,18.606607049558189,-68.950981199741364,1,69,10,,,
677bd307-bf99-4d91-9069-697e18b4b9dc,12011415,BATEY 22,05-SAN PEDRO DE MACORIS,0503-LA ROMANA,LA ROMANA,GUAYMATE,GUAYMATE,HIG�ERAL,BATEY EL 22,BATEY EL BATEY 22,18.60853896946254,-68.979710340499878,1,20,18,,,
bb165ad0-99d7-48f8-8925-11e9eb693b55,8012117,BATEY 35,12-HIGUEY,1203-EL SEIBO,EL SEIBO,EL SEIBO,SANTA LUC�A (D. M.),EL PINTADO,EL 35,BATEY 35 BATEY 35,18.707334997883141,-69.007082283496857,1,65,40,,,
ecfb3d9a-55b4-4b04-9bf8-54a5f5f57759,11015219,BATEY 412,12-HIGUEY,1202-SAN RAFAEL DEL YUMA,LA ALTAGRACIA,SAN RAFAEL DEL YUMA,SAN RAFAEL DEL YUMA,LA PI�ITA,BATEY 412,BATEY 41 BATEY 412,18.488876251176649,-68.731037378311157,1,103,73,,,
ff27340f-0ffc-4a41-be0e-7b9272572936,12010514,BATEY 62,05-SAN PEDRO DE MACORIS,0503-LA ROMANA,LA ROMANA,GUAYMATE,GUAYMATE,HIG�ERAL,BATEY 62,BATEY 62 BATEY 62,18.522341329173454,-68.987917900085449,1,16,43,,,
414d860a-3130-46e9-86fa-0be8a256ad92,12012618,BATEY 81,05-SAN PEDRO DE MACORIS,0503-LA ROMANA,LA ROMANA,GUAYMATE,GUAYMATE,SABANA,BATEY EL 81,BATEY 81 BATEY 81,18.58739596361173,-68.955527544021606,1,27,13,,,
cb836d3c-d7c8-4ca5-b28e-f61f5b2243bf,12010816,BATEY 82,05-SAN PEDRO DE MACORIS,0503-LA ROMANA,LA ROMANA,GUAYMATE,GUAYMATE,HIG�ERAL,BATEY 82,BATEY 82 BATEY 82,18.595960760734158,-68.931470811367035,1,47,6,,,
